rank,title,score,num_of_votes,director,release_year,country,theme,summary,movie_url
163,我是山姆,8.8,109977, 杰茜·尼尔森 Jessie Nelson,2001,美国,剧情 家庭,爱并不需要智商 。,https://movie.douban.com/subject/1306861/
164,蝙蝠侠：黑暗骑士崛起,8.6,309091, 克里斯托弗·诺兰 Christopher Nolan,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,诺兰就是保证。,https://movie.douban.com/subject/3395373/
165,人工智能,8.6,199257, 史蒂文·斯皮尔伯格 Steven Spielberg,2001,美国,冒险 剧情 科幻,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
166,浪潮,8.7,138832, 丹尼斯·甘塞尔 Dennis Gansel,2008,德国,剧情 惊悚,世界离独裁只有五天。,https://movie.douban.com/subject/2297265/
167,冰川时代,8.4,284920, 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,美国,喜剧 动画 冒险,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
168,香水,8.4,288817, 汤姆·提克威 Tom Tykwer,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻,一个单凭体香达到高潮的男人。,https://movie.douban.com/subject/1760622/
169,朗读者,8.5,288102, 史蒂芬·戴德利 Stephen Daldry,2008,美国 德国,剧情 爱情,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://movie.douban.com/subject/2213597/
170,罗生门,8.7,131811, 黑泽明 Akira Kurosawa,1950,日本,犯罪 剧情 悬疑,人生的N种可能性。,https://movie.douban.com/subject/1291879/
171,爆裂鼓手,8.6,250615, 达米安·沙泽勒 Damien Chazelle,2014,美国,剧情 音乐,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
172,追随,8.9,85572, 克里斯托弗·诺兰 Christopher Nolan,1998,英国,犯罪 悬疑 惊悚,诺兰的牛逼来源于内心散发出的恐惧。,https://movie.douban.com/subject/1397546/
173,请以你的名字呼唤我,8.8,171819, 卢卡·圭达尼诺 Luca Guadagnino,2017,意大利 法国 巴西 美国,剧情 爱情 同性,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
174,一次别离,8.7,138255, 阿斯哈·法哈蒂  Asghar Farhadi,2011,伊朗 法国,剧情 家庭,只有有信仰的人才能说出事实真相。,https://movie.douban.com/subject/5964718/
175,撞车,8.6,180791, 保罗·哈吉斯 Paul Haggis,2004,美国 德国,犯罪 剧情,天使与魔鬼的冲撞。,https://movie.douban.com/subject/1388216/
176,未麻的部屋,8.8,103863, 今敏 Satoshi Kon,1997,日本,动画 奇幻 惊悚,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
177,可可西里,8.7,134944, 陆川 Chuan Lu,2004,中国大陆 香港,剧情 犯罪,坚硬的信仰。,https://movie.douban.com/subject/1308857/
178,血战钢锯岭,8.7,333454, 梅尔·吉布森 Mel Gibson,2016,美国 澳大利亚,剧情 传记 历史 战争,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/
179,战争之王,8.5,181830, 安德鲁·尼科尔 Andrew Niccol,2005,美国 法国,剧情 犯罪,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/
180,恐怖游轮,8.3,342570, 克里斯托弗·史密斯 Christopher Smith,2009,英国 澳大利亚,剧情 悬疑 惊悚,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
181,地球上的星星,8.8,89589, 阿米尔·汗 Aamir Khan,2007,印度,剧情 儿童 家庭,天使保护事件始末。,https://movie.douban.com/subject/2363506/
182,梦之安魂曲,8.7,116347, 达伦·阿伦诺夫斯基 Darren Aronofsky,2000,美国,剧情,一场没有春天的噩梦。,https://movie.douban.com/subject/1292270/
183,达拉斯买家俱乐部,8.7,176499, 让-马克·瓦雷 Jean-Marc Vallée,2013,美国,剧情 传记 同性,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
184,被解救的姜戈,8.6,270369, 昆汀·塔伦蒂诺 Quentin Tarantino,2012,美国,剧情 动作 西部 冒险,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
185,阿飞正传,8.5,191919, 王家卫 Kar Wai Wong,1990,香港,犯罪 剧情 爱情,王家卫是一种风格，张国荣是一个代表。,https://movie.douban.com/subject/1305690/
186,牯岭街少年杀人事件,8.7,111955, 杨德昌 Edward Yang,1991,台湾,剧情 犯罪,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/
187,谍影重重,8.5,199867, 道格·里曼 Doug Liman,2002,美国 德国 捷克,动作 悬疑 惊悚,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://movie.douban.com/subject/1304102/
188,谍影重重2,8.5,165959, 保罗·格林格拉斯 Paul Greengrass,2004,美国 德国,动作 悬疑 惊悚,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/
189,魔女宅急便,8.5,204007, 宫崎骏 Hayao Miyazaki,1989,日本,动画 奇幻 冒险,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/
190,头脑特工队,8.7,239294, 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,2015,美国,喜剧 动画 冒险,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
191,碧海蓝天,8.7,110386, Luc Besson,1988,法国 美国 意大利,剧情 爱情,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,https://movie.douban.com/subject/1300960/
192,忠犬八公物语,9.0,63160, Seijirô Kôyama,1987,日本,剧情,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/
193,惊魂记,8.9,87158, Alfred Hitchcock,1960,美国,悬疑 惊悚 恐怖,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/
194,房间,8.8,163769, 伦尼·阿伯拉罕森 Lenny Abrahamson,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/
195,再次出发之纽约遇见你,8.5,178625, 约翰·卡尼 John Carney,2013,美国,喜剧 爱情 音乐,爱我就给我看你的播放列表。,https://movie.douban.com/subject/6874403/
196,青蛇,8.4,231033, 徐克 Hark Tsui,1993,香港,剧情 奇幻 古装,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/
197,秒速5厘米,8.3,311399, 新海诚 Makoto Shinkai,2007,日本,动画 剧情 爱情,青春就是放弃和怀念。,https://movie.douban.com/subject/2043546/
198,东京物语,9.2,53290, 小津安二郎 Yasujirô Ozu,1953,日本,剧情 家庭,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,https://movie.douban.com/subject/1291568/
199,哪吒闹海,8.9,84309, 严定宪 Dingxian Yan / 王树忱 Shuchen Wang,1979,中国大陆,冒险 动画 奇幻,想你时你在闹海。,https://movie.douban.com/subject/1307315/
200,海盗电台,8.6,169501, 理查德·柯蒂斯 Richard Curtis,2009,英国 德国 法国,剧情 喜剧 音乐,生命不止，摇滚不死。,https://movie.douban.com/subject/3007773/
201,末路狂花,8.7,109143, 雷德利·斯科特 Ridley Scott,1991,美国 法国,犯罪 剧情 惊悚,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/
